pub_number,cit_number
US-2019179041-A1,US-2017184736-A1
US-2019106122-A1,US-2013018549-A1
US-10381744-B1,US-2011227804-A1
US-2019108737-A1,US-2011100073-A1
US-2019179041-A1,US-2011180718-A1
US-2019115761-A1,US-2010023104-A1
US-2019104865-A1,US-2003098400-A1
US-2019104690-A1,US-2002048415-A1
US-2019104865-A1,US-6622410-B2
US-2019175479-A1,US-5763657-A
US-2019106298-A1,US-3602375-A
US-2019106813-A1,US-2015284881-A1
US-2019109641-A1,US-2014186026-A1
US-2019136316-A1,US-2012220494-A1
US-2019135815-A1,US-2012170845-A1
US-2019109641-A1,US-2013266327-A1
US-2019109641-A1,US-2011033181-A1
US-2019107088-A1,US-2009107471-A1
US-2019106967-A1,US-2009053087-A1
US-2019112882-A1,US-8175434-B2
US-2019106967-A1,US-2006083646-A1
US-2019116644-A1,US-2005011041-A1
US-2019106967-A1,US-4621987-A
US-2019169971-A1,US-9534473-B2
US-2019215807-A1,US-2015016370-A1
US-2019121397-A1,US-2012020445-A1
US-2019105561-A1,US-2010008150-A1
US-10323429-B1,US-2009019633-A1
US-2019106518-A1,US-7834115-B2
US-10323429-B1,US-7774870-B2
US-2019109078-A1,US-2003010997-A1
US-2019216207-A1,US-6911031-B2
US-2019091312-A1,US-2003021152-A1
US-2019105357-A1,US-7357923-B1
US-2019107860-A1,US-3986410-A
US-2019104027-A1,US-2016218917-A1
US-2019103805-A1,US-2015171632-A1
US-2019174289-A1,US-10142213-B1
US-2019104381-A1,US-2015281889-A1
US-2019170470-A1,US-8777620-B1
US-2019109535-A1,US-2013049466-A1
US-2019173202-A1,US-2012003850-A1
US-2019171851-A1,US-2008132119-A1
US-2019171851-A1,US-2009302109-A1
US-2019110129-A1,US-2007297519-A1
US-10301077-B1,US-9980522-B1
US-2019115321-A1,US-2015021789-A1
US-2019100472-A1,US-2015029906-A1
US-2019109007-A1,US-2013203269-A1
US-2019100472-A1,US-2015010137-A1
US-2019115321-A1,US-2012292784-A1
US-2019113965-A1,US-2012015444-A1
US-2019100444-A1,US-2009112364-A1
US-2019116466-A1,US-2006276200-A1
US-2019098850-A1,US-2005061737-A1
US-2019115784-A1,US-5810284-A
US-2019109141-A1,US-2017013286-A1
US-2019098591-A1,US-2017181149-A1
US-2019113972-A1,US-2017370030-A1
US-2019109141-A1,US-2017020712-A1
US-2019109142-A1,US-2016093626-A1
US-2019103382-A1,US-2015318262-A1
US-2019093298-A1,US-9192987-B2
US-10380344-B1,US-2015150124-A1
US-2019195047-A1,US-2015040990-A1
US-2019173988-A1,US-9129757-B2
US-2019091661-A1,US-2012023606-A1
US-2019093444-A1,US-2012181015-A1
US-2019097370-A1,US-7819676-B1
US-2019097370-A1,US-7614895-B2
US-2019171200-A1,US-2006265128-A1
US-2019103157-A1,US-2006092747-A1
US-2019091660-A1,US-2007123658-A1
US-2019091453-A1,US-2005070938-A1
US-2019163190-A1,US-6934615-B2
US-2019097370-A1,US-6358070-B1
US-2019097370-A1,US-6296498-B1
US-2019097370-A1,US-6033239-A
US-2019100957-A1,US-5018325-A
US-2019097494-A1,US-3845339-A
US-10303181-B1,US-2018108103-A1
US-2019097451-A1,US-2018138758-A1
US-2019148239-A1,US-2015263120-A1
US-2019148239-A1,US-9472628-B2
US-2019237215-A1,US-2015010184-A1
US-2019211947-A1,US-2014157937-A1
US-2019097402-A1,US-2015294768-A1
US-2019097644-A1,US-7688146-B2
US-2019113978-A1,US-2005134561-A1
US-2019096005-A1,US-2005012532-A1
US-2019091193-A1,US-7320999-B2
US-2019091193-A1,US-6344676-B1
US-2019091193-A1,US-5424332-A
US-2019098743-A1,US-2015115451-A1
US-2019098198-A1,US-2015086175-A1
US-2019096764-A1,US-2010140710-A1
US-2019169846-A1,US-2007028541-A1
US-2019091492-A1,US-2006239946-A1
US-2019096541-A1,US-6272746-B1
US-2019139519-A1,US-5503056-A
US-2019091465-A1,US-5078134-A
US-2019114856-A1,US-2018357845-A1
US-2019115068-A1,US-2018016611-A1
US-2019112774-A1,US-9341410-B1
US-2019112774-A1,US-8926221-B2
US-2019104355-A1,US-2005089186-A1
US-10408585-B1,US-6695727-B1
US-2019095936-A1,US-2016006352-A1
US-2019165846-A1,US-2015244444-A1
US-2019097658-A1,US-2015236721-A1
US-2019093388-A1,US-9205951-B1
US-2019215604-A1,US-2013170668-A1
US-2019092171-A1,US-2013144831-A1
US-2019090650-A1,US-2015025755-A1
US-2019215604-A1,US-2014064526-A1
US-2019133762-A1,US-2005154441-A1
US-2019096694-A1,US-2003164354-A1
US-2019096752-A1,US-2002009057-A1
US-2019133762-A1,US-6056718-A
US-2019090650-A1,US-5544378-A
